Pet Species,Breed,Age (years),Weight (kg),Past Diagnosis,Symptoms,Treatment,Future Disease
Cat,Philippine Shorthair (Puspin),8.1,4.1,Sinus Infection,"Nasal discharge, Facial swelling",Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),13.2,6.0,Chronic Rhinitis,"Nasal discharge, Breathing difficulty",Nasal flush,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),9.4,4.2,Chronic Rhinitis,"Breathing difficulty, Nasal discharge",Nasal flush,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),9.0,4.2,Upper Respiratory Infection,Sneezing,Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),2.9,1.6,Chronic Rhinitis,"Breathing difficulty, Nasal discharge",Nasal flush,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),2.7,1.5,Sinus Infection,Fever,Steam therapy,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),13.5,6.0,Chronic Rhinitis,Nasal discharge,Anti-inflammatory drugs,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),1.3,1.4,Chronic Rhinitis,Nasal discharge,Nasal flush,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),1.8,1.5,Conjunctivitis,"Eye swelling, Discharge",Eye drops,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),3.6,2.3,Upper Respiratory Infection,"Sneezing, Fever, Runny nose",Supportive care,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),5.6,2.6,Keratitis,Cloudy eyes,Antiviral medication,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),9.1,4.0,Sinus Infection,Nasal discharge,Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),2.2,1.5,Feline Calicivirus,"Nasal discharge, Ulcers",Fluids,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),2.3,1.3,Sinus Infection,"Nasal discharge, Facial swelling, Fever",Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),6.6,3.6,Conjunctivitis,Eye swelling,Eye drops,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),5.9,2.9,Upper Respiratory Infection,"Sneezing, Fever",Supportive care,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),1.8,1.0,Upper Respiratory Infection,"Fever, Sneezing, Runny nose",Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),13.2,5.9,Sinus Infection,Fever,Steam therapy,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),12.0,5.0,Sinus Infection,"Fever, Facial swelling",Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),3.9,2.4,Feline Calicivirus,"Ulcers, Nasal discharge, Coughing",Fluids,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),6.0,3.3,Feline Calicivirus,Ulcers,Pain relief,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),8.0,3.7,Feline Calicivirus,"Nasal discharge, Coughing",Pain relief,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),2.0,1.8,Sinus Infection,"Facial swelling, Fever",Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),7.1,3.4,Chronic Rhinitis,Breathing difficulty,Anti-inflammatory drugs,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),11.6,5.4,Feline Calicivirus,"Coughing, Ulcers, Nasal discharge",Pain relief,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),11.8,5.6,Sinus Infection,Fever,Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),4.5,2.4,Chronic Rhinitis,"Nasal discharge, Breathing difficulty",Nasal flush,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),6.0,2.6,Upper Respiratory Infection,"Sneezing, Fever, Runny nose",Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),5.9,2.7,Keratitis,"Cloudy eyes, Eye pain",Antiviral medication,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),7.8,4.0,Chronic Rhinitis,Nasal discharge,Nasal flush,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),1.3,1.0,Feline Herpesvirus,"Lethargy, Nasal discharge, Eye discharge",Supportive care,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),0.9,1.1,Sinus Infection,Fever,Steam therapy,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),12.0,5.7,Upper Respiratory Infection,"Runny nose, Fever",Supportive care,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),4.2,2.2,Upper Respiratory Infection,"Sneezing, Runny nose, Fever",Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),3.4,1.6,Sinus Infection,"Nasal discharge, Fever",Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),5.3,2.9,Upper Respiratory Infection,"Sneezing, Runny nose, Fever",Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),7.7,4.0,Upper Respiratory Infection,"Runny nose, Fever, Sneezing",Supportive care,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),13.5,5.7,Feline Herpesvirus,Lethargy,Antiviral medication,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),0.9,1.0,Feline Calicivirus,"Nasal discharge, Ulcers",Pain relief,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),11.9,5.5,Conjunctivitis,"Eye swelling, Discharge, Red eyes",Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),9.9,4.6,Conjunctivitis,"Eye swelling, Discharge, Red eyes",Eye drops,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),11.6,5.5,Feline Calicivirus,"Ulcers, Nasal discharge",Pain relief,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),1.4,1.3,Keratitis,"Cloudy eyes, Eye pain",Antiviral medication,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),7.6,3.6,Keratitis,"Cloudy eyes, Eye pain",Eye drops,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),7.8,3.6,Keratitis,"Cloudy eyes, Eye pain",Antiviral medication,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),0.9,1.0,Keratitis,Cloudy eyes,Antiviral medication,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),14.1,6.0,Feline Calicivirus,Coughing,Pain relief,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),13.0,5.5,Upper Respiratory Infection,"Runny nose, Sneezing, Fever",Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),4.3,2.4,Sinus Infection,"Facial swelling, Nasal discharge",Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),11.6,5.2,Upper Respiratory Infection,"Fever, Sneezing",Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),10.4,5.1,Keratitis,Cloudy eyes,Eye drops,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),3.1,1.5,Feline Herpesvirus,"Eye discharge, Lethargy, Nasal discharge",Supportive care,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),3.5,1.9,Sinus Infection,"Fever, Nasal discharge, Facial swelling",Steam therapy,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),3.6,1.9,Sinus Infection,Nasal discharge,Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),8.1,3.5,Conjunctivitis,"Red eyes, Discharge, Eye swelling",Eye drops,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),9.1,4.6,Upper Respiratory Infection,"Sneezing, Runny nose, Fever",Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),5.8,2.7,Sinus Infection,"Facial swelling, Nasal discharge, Fever",Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),8.1,3.5,Chronic Rhinitis,"Breathing difficulty, Nasal discharge",Nasal flush,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),8.0,3.8,Feline Calicivirus,Nasal discharge,Fluids,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),7.8,4.0,Chronic Rhinitis,"Nasal discharge, Breathing difficulty",Anti-inflammatory drugs,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),12.3,5.4,Upper Respiratory Infection,"Sneezing, Runny nose, Fever",Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),0.8,1.1,Sinus Infection,"Nasal discharge, Fever, Facial swelling",Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),5.9,2.6,Feline Herpesvirus,Nasal discharge,Supportive care,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),8.7,3.7,Upper Respiratory Infection,"Fever, Runny nose",Supportive care,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),5.3,2.9,Chronic Rhinitis,Nasal discharge,Anti-inflammatory drugs,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),6.4,3.4,Sinus Infection,Nasal discharge,Steam therapy,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),11.0,4.8,Upper Respiratory Infection,Fever,Supportive care,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),13.5,5.9,Conjunctivitis,Eye swelling,Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),15.0,6.0,Feline Calicivirus,"Coughing, Ulcers, Nasal discharge",Fluids,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),2.2,1.3,Chronic Rhinitis,Breathing difficulty,Nasal flush,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),0.9,1.0,Upper Respiratory Infection,"Fever, Runny nose, Sneezing",Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),8.8,4.2,Keratitis,Cloudy eyes,Antiviral medication,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),6.3,3.1,Conjunctivitis,Discharge,Eye drops,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),8.3,3.9,Upper Respiratory Infection,Runny nose,Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),2.0,1.6,Conjunctivitis,Discharge,Antibiotics,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),10.9,4.8,Conjunctivitis,"Red eyes, Discharge, Eye swelling",Eye drops,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),3.8,2.5,Upper Respiratory Infection,"Fever, Sneezing",Supportive care,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),6.4,3.4,Feline Calicivirus,"Ulcers, Coughing",Pain relief,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),5.1,2.7,Sinus Infection,"Fever, Nasal discharge, Facial swelling",Steam therapy,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),11.2,5.3,Upper Respiratory Infection,Sneezing,Supportive care,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),14.6,6.0,Feline Herpesvirus,"Eye discharge, Lethargy, Nasal discharge",Supportive care,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),7.7,3.4,Keratitis,Eye pain,Eye drops,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),8.8,4.4,Conjunctivitis,"Eye swelling, Red eyes",Eye drops,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),3.9,2.0,Keratitis,Cloudy eyes,Eye drops,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),2.0,1.1,Keratitis,"Cloudy eyes, Eye pain",Antiviral medication,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),3.9,2.3,Feline Calicivirus,"Nasal discharge, Coughing, Ulcers",Pain relief,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),3.7,2.2,Feline Calicivirus,"Ulcers, Coughing",Fluids,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),13.5,6.0,Keratitis,"Cloudy eyes, Eye pain",Eye drops,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),14.9,6.0,Feline Herpesvirus,"Eye discharge, Nasal discharge",Antiviral medication,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),3.1,1.6,Keratitis,"Eye pain, Cloudy eyes",Antiviral medication,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),8.0,3.5,Feline Herpesvirus,Eye discharge,Supportive care,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),3.4,1.7,Sinus Infection,"Nasal discharge, Facial swelling, Fever",Steam therapy,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),15.0,6.0,Sinus Infection,Nasal discharge,Steam therapy,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),6.0,3.1,Chronic Rhinitis,"Nasal discharge, Breathing difficulty",Anti-inflammatory drugs,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),1.3,1.2,Chronic Rhinitis,"Breathing difficulty, Nasal discharge",Anti-inflammatory drugs,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),14.6,6.0,Sinus Infection,Fever,Steam therapy,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),8.1,3.7,Upper Respiratory Infection,"Fever, Sneezing, Runny nose",Supportive care,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),12.7,5.7,Chronic Rhinitis,Breathing difficulty,Anti-inflammatory drugs,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),0.8,1.0,Feline Calicivirus,"Nasal discharge, Ulcers, Coughing",Pain relief,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),8.8,4.4,Feline Herpesvirus,"Lethargy, Nasal discharge",Supportive care,Feline Viral Rhinotracheitis (FVR)
Cat,Philippine Shorthair (Puspin),5.7,3.3,Ulcerative Mouth Lesions,"Drooling, Ulcers","Pain Relief Medication, Supportive Care",Feline Calicivirus (FCV)
