Pet Species,Breed,Age (years),Weight (kg),Past Diagnosis,Symptoms,Treatment,Future Disease
Chicken,Ayam Cemani Chicken,5.1,3.1,Bacterial enteritis,"Lethargy, Loose droppings",Antibiotics,Histomoniasis
Chicken,Ayam Cemani Chicken,2.1,2.0,Coccidiosis,"Diarrhea, Loss of appetite, Weakness",Amprolium,Histomoniasis
Chicken,Ayam Cemani Chicken,5.1,4.8,Trichomoniasis,Lesions in the mouth,"Dimetridazole, Metronidazole",Histomoniasis
Chicken,Ayam Cemani Chicken,1.7,1.8,Trichomoniasis,"Difficulty swallowing, Lesions in the mouth",Dimetridazole,Histomoniasis
Chicken,Ayam Cemani Chicken,1.4,1.5,Bacterial enteritis,"Dehydration, Loose droppings","Supportive care, Antibiotics",Histomoniasis
Chicken,Ayam Cemani Chicken,4.4,0.3,Coccidiosis,"Loss of appetite, Diarrhea, Weakness","Amprolium, Sulfaquinoxaline",Histomoniasis
Chicken,Ayam Cemani Chicken,0.3,0.9,Trichomoniasis,Difficulty swallowing,"Metronidazole, Dimetridazole",Histomoniasis
Chicken,Ayam Cemani Chicken,4.7,4.8,Coccidiosis,"Loss of appetite, Weakness, Diarrhea","Sulfaquinoxaline, Amprolium",Histomoniasis
Chicken,Ayam Cemani Chicken,0.6,0.2,Coccidiosis,"Loss of appetite, Diarrhea","Sulfaquinoxaline, Amprolium",Histomoniasis
Chicken,Ayam Cemani Chicken,6.0,1.9,Gastrointestinal parasitism,"Weight loss, Poor feather condition",Anthelmintics,Histomoniasis
Chicken,Ayam Cemani Chicken,2.2,2.8,Gastrointestinal parasitism,Poor feather condition,Anthelmintics,Histomoniasis
Chicken,Ayam Cemani Chicken,4.6,3.9,Bacterial enteritis,"Dehydration, Lethargy",Supportive care,Histomoniasis
Chicken,Ayam Cemani Chicken,8.7,2.9,Gastrointestinal parasitism,"Weight loss, Diarrhea, Poor feather condition",Vitamin supplements,Histomoniasis
Chicken,Ayam Cemani Chicken,6.9,0.4,Coccidiosis,"Loss of appetite, Weakness, Diarrhea","Amprolium, Sulfaquinoxaline",Histomoniasis
Chicken,Ayam Cemani Chicken,2.0,1.9,Coccidiosis,"Diarrhea, Weakness, Loss of appetite",Amprolium,Histomoniasis
Chicken,Ayam Cemani Chicken,4.2,2.0,Gastrointestinal parasitism,"Poor feather condition, Weight loss",Vitamin supplements,Histomoniasis
Chicken,Ayam Cemani Chicken,0.5,1.2,Trichomoniasis,Difficulty swallowing,"Metronidazole, Dimetridazole",Histomoniasis
Chicken,Ayam Cemani Chicken,1.5,2.4,Trichomoniasis,"Weight loss, Difficulty swallowing, Lesions in the mouth","Metronidazole, Dimetridazole",Histomoniasis
Chicken,Ayam Cemani Chicken,8.9,2.8,Gastrointestinal parasitism,"Diarrhea, Weight loss, Poor feather condition","Vitamin supplements, Anthelmintics",Histomoniasis
Chicken,Ayam Cemani Chicken,2.9,0.5,Coccidiosis,"Diarrhea, Loss of appetite, Weakness","Sulfaquinoxaline, Amprolium",Histomoniasis
Chicken,Ayam Cemani Chicken,6.9,5.7,Gastrointestinal parasitism,"Poor feather condition, Diarrhea, Weight loss",Vitamin supplements,Histomoniasis
Chicken,Ayam Cemani Chicken,1.5,0.3,Trichomoniasis,"Weight loss, Difficulty swallowing","Metronidazole, Dimetridazole",Histomoniasis
Chicken,Ayam Cemani Chicken,9.5,1.2,Trichomoniasis,Lesions in the mouth,Metronidazole,Histomoniasis
Chicken,Ayam Cemani Chicken,1.0,2.7,Trichomoniasis,"Difficulty swallowing, Weight loss",Dimetridazole,Histomoniasis
Chicken,Ayam Cemani Chicken,0.9,1.0,Coccidiosis,"Diarrhea, Loss of appetite",Amprolium,Histomoniasis
Chicken,Ayam Cemani Chicken,1.5,3.1,Bacterial enteritis,"Lethargy, Dehydration","Antibiotics, Supportive care",Histomoniasis
Chicken,Ayam Cemani Chicken,0.9,0.4,Gastrointestinal parasitism,Poor feather condition,"Anthelmintics, Vitamin supplements",Histomoniasis
Chicken,Ayam Cemani Chicken,2.8,1.8,Bacterial enteritis,Lethargy,"Antibiotics, Supportive care",Histomoniasis
Chicken,Ayam Cemani Chicken,1.8,2.0,Gastrointestinal parasitism,Poor feather condition,Anthelmintics,Histomoniasis
Chicken,Ayam Cemani Chicken,6.8,1.8,Trichomoniasis,"Lesions in the mouth, Difficulty swallowing",Dimetridazole,Histomoniasis
Chicken,Ayam Cemani Chicken,9.2,1.9,Gastrointestinal parasitism,Weight loss,Anthelmintics,Histomoniasis
Chicken,Ayam Cemani Chicken,2.2,2.9,Gastrointestinal parasitism,"Weight loss, Poor feather condition","Vitamin supplements, Anthelmintics",Histomoniasis
Chicken,Ayam Cemani Chicken,9.1,5.5,Bacterial enteritis,"Loose droppings, Dehydration","Antibiotics, Supportive care",Histomoniasis
Chicken,Ayam Cemani Chicken,5.1,1.2,Bacterial enteritis,"Loose droppings, Lethargy",Supportive care,Histomoniasis
Chicken,Ayam Cemani Chicken,7.5,2.5,Bacterial enteritis,"Loose droppings, Lethargy, Dehydration","Supportive care, Antibiotics",Histomoniasis
Chicken,Ayam Cemani Chicken,6.5,3.6,Bacterial enteritis,"Lethargy, Dehydration, Loose droppings","Supportive care, Antibiotics",Histomoniasis
Chicken,Ayam Cemani Chicken,9.5,3.3,Trichomoniasis,"Difficulty swallowing, Lesions in the mouth, Weight loss","Dimetridazole, Metronidazole",Histomoniasis
Chicken,Ayam Cemani Chicken,3.6,1.5,Gastrointestinal parasitism,"Diarrhea, Poor feather condition","Vitamin supplements, Anthelmintics",Histomoniasis
Chicken,Ayam Cemani Chicken,0.7,1.7,Trichomoniasis,Weight loss,"Metronidazole, Dimetridazole",Histomoniasis
Chicken,Ayam Cemani Chicken,6.9,2.6,Trichomoniasis,Lesions in the mouth,"Dimetridazole, Metronidazole",Histomoniasis
Chicken,Ayam Cemani Chicken,2.0,0.6,Gastrointestinal parasitism,"Weight loss, Diarrhea",Vitamin supplements,Histomoniasis
Chicken,Ayam Cemani Chicken,3.9,1.6,Bacterial enteritis,"Dehydration, Lethargy","Supportive care, Antibiotics",Histomoniasis
Chicken,Ayam Cemani Chicken,5.4,2.6,Gastrointestinal parasitism,"Poor feather condition, Weight loss, Diarrhea","Anthelmintics, Vitamin supplements",Histomoniasis
Chicken,Ayam Cemani Chicken,5.5,1.4,Gastrointestinal parasitism,"Poor feather condition, Weight loss","Anthelmintics, Vitamin supplements",Histomoniasis
Chicken,Ayam Cemani Chicken,4.9,3.7,Coccidiosis,"Weakness, Loss of appetite",Sulfaquinoxaline,Histomoniasis
Chicken,Ayam Cemani Chicken,6.4,2.2,Trichomoniasis,"Lesions in the mouth, Weight loss","Dimetridazole, Metronidazole",Histomoniasis
Chicken,Ayam Cemani Chicken,6.3,4.6,Coccidiosis,"Weakness, Loss of appetite, Diarrhea","Amprolium, Sulfaquinoxaline",Histomoniasis
Chicken,Ayam Cemani Chicken,3.8,1.1,Coccidiosis,"Loss of appetite, Weakness",Amprolium,Histomoniasis
Chicken,Ayam Cemani Chicken,1.9,2.4,Bacterial enteritis,"Dehydration, Lethargy","Supportive care, Antibiotics",Histomoniasis
Chicken,Ayam Cemani Chicken,0.8,2.1,Gastrointestinal parasitism,"Diarrhea, Poor feather condition, Weight loss",Anthelmintics,Histomoniasis
Chicken,Ayam Cemani Chicken,7.2,1.2,Bacterial enteritis,Dehydration,"Supportive care, Antibiotics",Histomoniasis
Chicken,Ayam Cemani Chicken,7.5,1.2,Coccidiosis,Diarrhea,"Sulfaquinoxaline, Amprolium",Histomoniasis
Chicken,Ayam Cemani Chicken,9.8,6.9,Gastrointestinal parasitism,Weight loss,Anthelmintics,Histomoniasis
Chicken,Ayam Cemani Chicken,2.2,0.3,Coccidiosis,"Diarrhea, Loss of appetite, Weakness","Sulfaquinoxaline, Amprolium",Histomoniasis
Chicken,Ayam Cemani Chicken,8.2,5.2,Bacterial enteritis,"Dehydration, Loose droppings, Lethargy","Antibiotics, Supportive care",Histomoniasis
Chicken,Ayam Cemani Chicken,0.8,0.9,Trichomoniasis,"Weight loss, Lesions in the mouth, Difficulty swallowing",Metronidazole,Histomoniasis
Chicken,Ayam Cemani Chicken,8.1,6.2,Trichomoniasis,Weight loss,Dimetridazole,Histomoniasis
Chicken,Ayam Cemani Chicken,6.1,4.7,Gastrointestinal parasitism,"Poor feather condition, Diarrhea",Anthelmintics,Histomoniasis
Chicken,Ayam Cemani Chicken,6.1,5.0,Bacterial enteritis,"Loose droppings, Dehydration",Supportive care,Histomoniasis
Chicken,Ayam Cemani Chicken,3.1,1.0,Trichomoniasis,"Difficulty swallowing, Lesions in the mouth, Weight loss","Metronidazole, Dimetridazole",Histomoniasis
Chicken,Ayam Cemani Chicken,8.6,6.3,Coccidiosis,"Loss of appetite, Weakness, Diarrhea","Sulfaquinoxaline, Amprolium",Histomoniasis
Chicken,Ayam Cemani Chicken,7.8,4.7,Gastrointestinal parasitism,"Diarrhea, Poor feather condition, Weight loss",Anthelmintics,Histomoniasis
Chicken,Ayam Cemani Chicken,4.9,3.2,Gastrointestinal parasitism,Diarrhea,"Vitamin supplements, Anthelmintics",Histomoniasis
Chicken,Ayam Cemani Chicken,6.3,1.4,Bacterial enteritis,"Loose droppings, Lethargy, Dehydration",Antibiotics,Histomoniasis
Chicken,Ayam Cemani Chicken,4.1,1.5,Gastrointestinal parasitism,"Poor feather condition, Diarrhea, Weight loss",Anthelmintics,Histomoniasis
Chicken,Ayam Cemani Chicken,8.6,3.9,Trichomoniasis,"Lesions in the mouth, Difficulty swallowing, Weight loss",Dimetridazole,Histomoniasis
Chicken,Ayam Cemani Chicken,6.2,4.3,Coccidiosis,"Diarrhea, Weakness","Sulfaquinoxaline, Amprolium",Histomoniasis
Chicken,Ayam Cemani Chicken,1.3,1.8,Bacterial enteritis,"Loose droppings, Dehydration, Lethargy","Antibiotics, Supportive care",Histomoniasis
Chicken,Ayam Cemani Chicken,1.0,1.0,Trichomoniasis,"Weight loss, Difficulty swallowing, Lesions in the mouth",Metronidazole,Histomoniasis
Chicken,Ayam Cemani Chicken,2.0,0.4,Trichomoniasis,Weight loss,"Dimetridazole, Metronidazole",Histomoniasis
Chicken,Ayam Cemani Chicken,5.0,1.0,Trichomoniasis,Difficulty swallowing,"Metronidazole, Dimetridazole",Histomoniasis
Chicken,Ayam Cemani Chicken,1.2,0.7,Coccidiosis,Loss of appetite,Amprolium,Histomoniasis
Chicken,Ayam Cemani Chicken,8.6,6.0,Gastrointestinal parasitism,Diarrhea,"Anthelmintics, Vitamin supplements",Histomoniasis
Chicken,Ayam Cemani Chicken,8.9,4.7,Coccidiosis,"Loss of appetite, Weakness, Diarrhea",Sulfaquinoxaline,Histomoniasis
Chicken,Ayam Cemani Chicken,9.4,1.0,Bacterial enteritis,"Dehydration, Lethargy, Loose droppings","Antibiotics, Supportive care",Histomoniasis
Chicken,Ayam Cemani Chicken,9.8,3.9,Trichomoniasis,"Lesions in the mouth, Difficulty swallowing","Metronidazole, Dimetridazole",Histomoniasis
Chicken,Ayam Cemani Chicken,1.8,1.2,Coccidiosis,"Diarrhea, Loss of appetite, Weakness","Amprolium, Sulfaquinoxaline",Histomoniasis
Chicken,Ayam Cemani Chicken,2.4,0.5,Bacterial enteritis,"Dehydration, Lethargy",Antibiotics,Histomoniasis
Chicken,Ayam Cemani Chicken,7.0,2.8,Trichomoniasis,Difficulty swallowing,"Dimetridazole, Metronidazole",Histomoniasis
Chicken,Ayam Cemani Chicken,9.0,3.4,Coccidiosis,Diarrhea,"Sulfaquinoxaline, Amprolium",Histomoniasis
Chicken,Ayam Cemani Chicken,2.2,0.6,Trichomoniasis,"Difficulty swallowing, Lesions in the mouth, Weight loss",Metronidazole,Histomoniasis
Chicken,Ayam Cemani Chicken,8.2,3.5,Trichomoniasis,"Lesions in the mouth, Weight loss","Metronidazole, Dimetridazole",Histomoniasis
Chicken,Ayam Cemani Chicken,4.0,1.3,Coccidiosis,Loss of appetite,"Sulfaquinoxaline, Amprolium",Histomoniasis
Chicken,Ayam Cemani Chicken,0.8,1.8,Trichomoniasis,"Weight loss, Lesions in the mouth","Dimetridazole, Metronidazole",Histomoniasis
Chicken,Ayam Cemani Chicken,4.1,0.4,Gastrointestinal parasitism,"Diarrhea, Poor feather condition, Weight loss",Vitamin supplements,Histomoniasis
Chicken,Ayam Cemani Chicken,1.5,2.2,Coccidiosis,Weakness,Sulfaquinoxaline,Histomoniasis
Chicken,Ayam Cemani Chicken,2.0,2.8,Trichomoniasis,"Weight loss, Difficulty swallowing, Lesions in the mouth",Metronidazole,Histomoniasis
Chicken,Ayam Cemani Chicken,2.2,1.9,Trichomoniasis,"Weight loss, Lesions in the mouth",Metronidazole,Histomoniasis
