Pet Species,Breed,Age (years),Weight (kg),Past Diagnosis,Symptoms,Treatment,Future Disease
Dog,Aspin,5.8,24.0,Dehydration; Respiratory distress,Sunken eyes; Wheezing,Fluid therapy; Oxygen therapy,Heatstroke
Dog,Aspin,6.6,9.0,Heat exhaustion,Panting,Cooling therapy,Heatstroke
Dog,Aspin,3.9,15.4,Dehydration; Obesity,Dry gums; Reduced activity,Fluid therapy; Weight management plan,Heatstroke
Dog,Aspin,3.0,20.7,Obesity,Difficulty breathing,Weight management plan,Heatstroke
Dog,Aspin,9.7,12.6,Obesity; Respiratory distress,Reduced activity; Rapid breathing,Weight management plan; Oxygen therapy,Heatstroke
Dog,Aspin,10.1,28.5,Heat exhaustion,Panting,Cooling therapy,Heatstroke
Dog,Aspin,9.6,20.5,Respiratory distress; Heat exhaustion,Rapid breathing; Drooling,Oxygen therapy; Cooling therapy,Heatstroke
Dog,Aspin,6.9,14.2,Dehydration; Heat exhaustion,Dry gums; Red gums,Fluid therapy; Cooling therapy,Heatstroke
Dog,Aspin,10.1,21.4,Heat exhaustion,Panting,Cooling therapy,Heatstroke
Dog,Aspin,9.4,8.2,Obesity; Respiratory distress,Difficulty breathing; Wheezing,Weight management plan; Oxygen therapy,Heatstroke
Dog,Aspin,5.8,10.2,Heat exhaustion; Respiratory distress,Red gums; Rapid breathing,Cooling therapy; Oxygen therapy,Heatstroke
Dog,Aspin,11.2,17.1,Heat exhaustion; Dehydration,Drooling; Dry gums,Cooling therapy; Fluid therapy,Heatstroke
Dog,Aspin,7.5,28.8,Respiratory distress; Obesity,Wheezing; Reduced activity,Oxygen therapy; Weight management plan,Heatstroke
Dog,Aspin,3.7,17.6,Heat exhaustion,Panting,Cooling therapy,Heatstroke
Dog,Aspin,3.6,31.9,Obesity; Respiratory distress,Reduced activity; Wheezing,Weight management plan; Oxygen therapy,Heatstroke
Dog,Aspin,7.0,31.1,Dehydration,Dry gums,Fluid therapy,Heatstroke
Dog,Aspin,1.9,15.5,Dehydration; Heat exhaustion,Dry gums; Red gums,Fluid therapy; Cooling therapy,Heatstroke
Dog,Aspin,1.5,21.4,Heat exhaustion; Respiratory distress,Panting; Wheezing,Cooling therapy; Oxygen therapy,Heatstroke
Dog,Aspin,6.0,23.9,Dehydration,Dry gums,Fluid therapy,Heatstroke
Dog,Aspin,7.6,17.5,Respiratory distress,Rapid breathing,Oxygen therapy,Heatstroke
Dog,Aspin,2.1,32.7,Dehydration,Dry gums,Fluid therapy,Heatstroke
Dog,Aspin,3.8,31.6,Dehydration; Respiratory distress,Sunken eyes; Wheezing,Fluid therapy; Oxygen therapy,Heatstroke
Dog,Aspin,3.1,26.6,Obesity,Reduced activity,Weight management plan,Heatstroke
Dog,Aspin,2.4,9.5,Respiratory distress,Wheezing,Oxygen therapy,Heatstroke
Dog,Aspin,11.7,22.1,Dehydration,Lethargy,Fluid therapy,Heatstroke
Dog,Aspin,10.0,11.3,Heat exhaustion,Drooling,Cooling therapy,Heatstroke
Dog,Aspin,6.1,26.1,Dehydration; Respiratory distress,Sunken eyes; Wheezing,Fluid therapy; Oxygen therapy,Heatstroke
Dog,Aspin,0.7,8.1,Dehydration,Sunken eyes,Fluid therapy,Heatstroke
Dog,Aspin,2.1,12.0,Dehydration; Obesity,Sunken eyes; Difficulty breathing,Fluid therapy; Weight management plan,Heatstroke
Dog,Aspin,9.8,20.2,Respiratory distress; Obesity,Rapid breathing; Difficulty breathing,Oxygen therapy; Weight management plan,Heatstroke
Dog,Aspin,3.8,26.0,Respiratory distress,Wheezing,Oxygen therapy,Heatstroke
Dog,Aspin,0.7,18.4,Dehydration,Sunken eyes,Fluid therapy,Heatstroke
Dog,Aspin,6.9,24.7,Heat exhaustion; Dehydration,Drooling; Lethargy,Cooling therapy; Fluid therapy,Heatstroke
Dog,Aspin,1.3,27.9,Heat exhaustion,Red gums,Cooling therapy,Heatstroke
Dog,Aspin,1.5,15.0,Obesity; Heat exhaustion,Difficulty breathing; Drooling,Weight management plan; Cooling therapy,Heatstroke
Dog,Aspin,7.3,19.1,Respiratory distress,Wheezing,Oxygen therapy,Heatstroke
Dog,Aspin,9.6,30.7,Dehydration; Heat exhaustion,Dry gums; Panting,Fluid therapy; Cooling therapy,Heatstroke
Dog,Aspin,4.8,15.7,Heat exhaustion; Dehydration,Drooling; Dry gums,Cooling therapy; Fluid therapy,Heatstroke
Dog,Aspin,5.9,9.2,Heat exhaustion; Respiratory distress,Red gums; Rapid breathing,Cooling therapy; Oxygen therapy,Heatstroke
Dog,Aspin,11.4,11.5,Obesity,Reduced activity,Weight management plan,Heatstroke
Dog,Aspin,3.0,15.7,Heat exhaustion; Obesity,Drooling; Reduced activity,Cooling therapy; Weight management plan,Heatstroke
Dog,Aspin,5.0,24.1,Obesity; Dehydration,Reduced activity; Dry gums,Weight management plan; Fluid therapy,Heatstroke
Dog,Aspin,6.1,8.9,Obesity,Difficulty breathing,Weight management plan,Heatstroke
Dog,Aspin,6.6,23.6,Dehydration; Obesity,Lethargy; Difficulty breathing,Fluid therapy; Weight management plan,Heatstroke
Dog,Aspin,2.0,14.9,Respiratory distress,Wheezing,Oxygen therapy,Heatstroke
Dog,Aspin,4.5,18.8,Respiratory distress; Heat exhaustion,Wheezing; Drooling,Oxygen therapy; Cooling therapy,Heatstroke
Dog,Aspin,9.8,14.4,Dehydration,Dry gums,Fluid therapy,Heatstroke
Dog,Aspin,2.2,16.8,Heat exhaustion; Respiratory distress,Red gums; Rapid breathing,Cooling therapy; Oxygen therapy,Heatstroke
Dog,Aspin,3.3,28.3,Dehydration; Obesity,Dry gums; Difficulty breathing,Fluid therapy; Weight management plan,Heatstroke
Dog,Aspin,5.9,25.1,Respiratory distress,Rapid breathing,Oxygen therapy,Heatstroke
Dog,Aspin,2.7,20.0,Heat exhaustion; Respiratory distress,Red gums; Wheezing,Cooling therapy; Oxygen therapy,Heatstroke
Dog,Aspin,7.6,32.1,Respiratory distress,Wheezing,Oxygen therapy,Heatstroke
Dog,Aspin,2.6,32.9,Heat exhaustion,Red gums,Cooling therapy,Heatstroke
Dog,Aspin,9.1,12.3,Obesity; Respiratory distress,Reduced activity; Wheezing,Weight management plan; Oxygen therapy,Heatstroke
Dog,Aspin,3.1,21.5,Respiratory distress,Wheezing,Oxygen therapy,Heatstroke
Dog,Aspin,9.8,28.7,Obesity,Reduced activity,Weight management plan,Heatstroke
Dog,Aspin,0.9,29.3,Obesity,Difficulty breathing,Weight management plan,Heatstroke
Dog,Aspin,8.9,27.6,Heat exhaustion,Red gums,Cooling therapy,Heatstroke
Dog,Aspin,7.4,21.6,Heat exhaustion; Dehydration,Red gums; Sunken eyes,Cooling therapy; Fluid therapy,Heatstroke
Dog,Aspin,10.9,19.2,Obesity,Reduced activity,Weight management plan,Heatstroke
Dog,Aspin,11.1,19.3,Obesity; Heat exhaustion,Reduced activity; Panting,Weight management plan; Cooling therapy,Heatstroke
Dog,Aspin,7.5,26.2,Dehydration,Sunken eyes,Fluid therapy,Heatstroke
Dog,Aspin,1.7,27.2,Dehydration; Respiratory distress,Lethargy; Wheezing,Fluid therapy; Oxygen therapy,Heatstroke
Dog,Aspin,9.7,16.5,Heat exhaustion; Respiratory distress,Panting; Rapid breathing,Cooling therapy; Oxygen therapy,Heatstroke
