Pet Species,Breed,Age (years),Weight (kg),Past Diagnosis,Symptoms,Treatment,Future Disease
Fish,Goldfish,3.3,0.33,Temperature Shock,"Rapid breathing, Discoloration, Loss of equilibrium","Stabilize water temperature, Add stress coat",Ich (White Spot Disease)
Fish,Goldfish,6.5,0.65,Stress from Poor Water Quality,"Gasping for air, Erratic swimming",Improve water quality,Ich (White Spot Disease)
Fish,Goldfish,1.0,0.2,Temperature Shock,"Rapid breathing, Discoloration, Loss of equilibrium",Stabilize water temperature,Ich (White Spot Disease)
Fish,Goldfish,8.5,0.85,Stress from Poor Water Quality,"Loss of appetite, Gasping for air, Erratic swimming","Change water, Improve water quality",Ich (White Spot Disease)
Fish,Goldfish,3.0,0.3,Temperature Shock,Loss of equilibrium,"Add stress coat, Stabilize water temperature",Ich (White Spot Disease)
Fish,Goldfish,9.7,0.97,Temperature Shock,"Loss of equilibrium, Rapid breathing, Discoloration","Stabilize water temperature, Add stress coat",Ich (White Spot Disease)
Fish,Goldfish,3.2,0.32,Temperature Shock,Loss of equilibrium,Add stress coat,Ich (White Spot Disease)
Fish,Goldfish,6.3,0.63,Stress from Poor Water Quality,"Loss of appetite, Erratic swimming","Improve water quality, Use aquarium salt",Ich (White Spot Disease)
Fish,Goldfish,1.8,0.2,Temperature Shock,"Loss of equilibrium, Discoloration","Stabilize water temperature, Add stress coat",Ich (White Spot Disease)
Fish,Goldfish,0.6,0.2,Inadequate Nutrition,Faded coloration,"Provide balanced diet, Add vitamins",Ich (White Spot Disease)
Fish,Goldfish,2.0,0.2,Stress from Poor Water Quality,"Loss of appetite, Gasping for air, Erratic swimming",Use aquarium salt,Ich (White Spot Disease)
Fish,Goldfish,7.9,0.79,Stress from Poor Water Quality,Erratic swimming,"Use aquarium salt, Change water, Improve water quality",Ich (White Spot Disease)
Fish,Goldfish,2.9,0.29,Stress from Poor Water Quality,"Gasping for air, Erratic swimming","Improve water quality, Use aquarium salt",Ich (White Spot Disease)
Fish,Goldfish,4.5,0.45,Stress from Poor Water Quality,"Loss of appetite, Gasping for air, Erratic swimming","Use aquarium salt, Change water",Ich (White Spot Disease)
Fish,Goldfish,4.8,0.48,Inadequate Nutrition,Faded coloration,Add vitamins,Ich (White Spot Disease)
Fish,Goldfish,6.8,0.68,Overcrowding,Clamped fins,Provide proper tank space,Ich (White Spot Disease)
Fish,Goldfish,4.8,0.48,Overcrowding,"Lethargy, Clamped fins, Weakened immune system","Reduce fish density, Provide proper tank space",Ich (White Spot Disease)
Fish,Goldfish,3.6,0.36,Inadequate Nutrition,"Weakness, Weight loss",Provide balanced diet,Ich (White Spot Disease)
Fish,Goldfish,6.0,0.6,Temperature Shock,"Discoloration, Rapid breathing","Add stress coat, Stabilize water temperature",Ich (White Spot Disease)
Fish,Goldfish,9.5,0.95,Stress from Poor Water Quality,"Erratic swimming, Loss of appetite","Use aquarium salt, Improve water quality, Change water",Ich (White Spot Disease)
Fish,Goldfish,7.9,0.79,Overcrowding,Weakened immune system,Reduce fish density,Ich (White Spot Disease)
Fish,Goldfish,1.9,0.2,Inadequate Nutrition,"Faded coloration, Weight loss","Add vitamins, Provide balanced diet",Ich (White Spot Disease)
Fish,Goldfish,5.1,0.51,Stress from Poor Water Quality,"Loss of appetite, Gasping for air","Improve water quality, Use aquarium salt, Change water",Ich (White Spot Disease)
Fish,Goldfish,8.6,0.86,Stress from Poor Water Quality,"Loss of appetite, Gasping for air",Use aquarium salt,Ich (White Spot Disease)
Fish,Goldfish,0.5,0.2,Inadequate Nutrition,"Weight loss, Weakness, Faded coloration",Add vitamins,Ich (White Spot Disease)
Fish,Goldfish,0.4,0.2,Temperature Shock,"Rapid breathing, Discoloration, Loss of equilibrium","Add stress coat, Stabilize water temperature",Ich (White Spot Disease)
Fish,Goldfish,5.5,0.55,Stress from Poor Water Quality,"Gasping for air, Loss of appetite, Erratic swimming","Use aquarium salt, Improve water quality",Ich (White Spot Disease)
Fish,Goldfish,9.9,0.99,Overcrowding,"Weakened immune system, Lethargy, Clamped fins",Provide proper tank space,Ich (White Spot Disease)
Fish,Goldfish,7.6,0.76,Overcrowding,"Lethargy, Clamped fins, Weakened immune system",Provide proper tank space,Ich (White Spot Disease)
Fish,Goldfish,2.3,0.23,Stress from Poor Water Quality,"Loss of appetite, Erratic swimming","Use aquarium salt, Improve water quality",Ich (White Spot Disease)
Fish,Goldfish,0.6,0.2,Inadequate Nutrition,"Weakness, Faded coloration, Weight loss","Provide balanced diet, Add vitamins",Ich (White Spot Disease)
Fish,Goldfish,4.2,0.42,Stress from Poor Water Quality,Loss of appetite,"Use aquarium salt, Improve water quality, Change water",Ich (White Spot Disease)
Fish,Goldfish,9.8,0.98,Temperature Shock,"Rapid breathing, Discoloration",Add stress coat,Ich (White Spot Disease)
Fish,Goldfish,9.4,0.94,Inadequate Nutrition,Weight loss,Provide balanced diet,Ich (White Spot Disease)
Fish,Goldfish,8.0,0.8,Temperature Shock,Loss of equilibrium,Stabilize water temperature,Ich (White Spot Disease)
Fish,Goldfish,4.6,0.46,Inadequate Nutrition,"Weakness, Weight loss, Faded coloration","Provide balanced diet, Add vitamins",Ich (White Spot Disease)
Fish,Goldfish,3.4,0.34,Stress from Poor Water Quality,"Loss of appetite, Erratic swimming, Gasping for air","Improve water quality, Use aquarium salt",Ich (White Spot Disease)
Fish,Goldfish,2.9,0.29,Stress from Poor Water Quality,"Loss of appetite, Erratic swimming, Gasping for air",Use aquarium salt,Ich (White Spot Disease)
Fish,Goldfish,3.1,0.31,Temperature Shock,Rapid breathing,Stabilize water temperature,Ich (White Spot Disease)
Fish,Goldfish,4.1,0.41,Temperature Shock,"Loss of equilibrium, Discoloration","Add stress coat, Stabilize water temperature",Ich (White Spot Disease)
Fish,Goldfish,8.6,0.86,Overcrowding,Weakened immune system,Reduce fish density,Ich (White Spot Disease)
Fish,Goldfish,1.7,0.2,Overcrowding,Lethargy,"Reduce fish density, Provide proper tank space",Ich (White Spot Disease)
Fish,Goldfish,2.0,0.2,Overcrowding,"Weakened immune system, Lethargy",Provide proper tank space,Ich (White Spot Disease)
Fish,Goldfish,8.7,0.87,Temperature Shock,"Rapid breathing, Discoloration",Add stress coat,Ich (White Spot Disease)
Fish,Goldfish,7.4,0.74,Stress from Poor Water Quality,Erratic swimming,"Improve water quality, Change water",Ich (White Spot Disease)
Fish,Goldfish,5.9,0.59,Temperature Shock,"Rapid breathing, Loss of equilibrium",Add stress coat,Ich (White Spot Disease)
Fish,Goldfish,0.6,0.2,Temperature Shock,Loss of equilibrium,Stabilize water temperature,Ich (White Spot Disease)
Fish,Goldfish,9.2,0.92,Stress from Poor Water Quality,Erratic swimming,Change water,Ich (White Spot Disease)
Fish,Goldfish,10.0,1.0,Temperature Shock,"Loss of equilibrium, Rapid breathing","Stabilize water temperature, Add stress coat",Ich (White Spot Disease)
Fish,Goldfish,1.9,0.2,Temperature Shock,"Loss of equilibrium, Rapid breathing","Add stress coat, Stabilize water temperature",Ich (White Spot Disease)
Fish,Goldfish,5.9,0.59,Temperature Shock,"Rapid breathing, Loss of equilibrium","Stabilize water temperature, Add stress coat",Ich (White Spot Disease)
Fish,Goldfish,0.2,0.2,Overcrowding,"Clamped fins, Weakened immune system, Lethargy",Provide proper tank space,Ich (White Spot Disease)
Fish,Goldfish,3.6,0.36,Stress from Poor Water Quality,Erratic swimming,"Use aquarium salt, Improve water quality",Ich (White Spot Disease)
Fish,Goldfish,2.5,0.25,Inadequate Nutrition,"Faded coloration, Weakness","Provide balanced diet, Add vitamins",Ich (White Spot Disease)
Fish,Goldfish,8.2,0.82,Temperature Shock,Rapid breathing,Stabilize water temperature,Ich (White Spot Disease)
Fish,Goldfish,1.0,0.2,Stress from Poor Water Quality,"Loss of appetite, Erratic swimming",Improve water quality,Ich (White Spot Disease)
Fish,Goldfish,1.7,0.2,Stress from Poor Water Quality,"Gasping for air, Loss of appetite","Improve water quality, Change water, Use aquarium salt",Ich (White Spot Disease)
