Pet Species,Breed,Age (years),Weight (kg),Past Diagnosis,Symptoms,Treatment,Future Disease
Hamster,Syrian Hamster,2.4,0.56,Dietary imbalance,"Weight loss, Low energy","Diet adjustment, Supplementation",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,2.9,0.61,Congenital digestive issue,"Failure to thrive, Chronic diarrhea","Probiotics, Specialized diet",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,2.6,0.8,Congenital digestive issue,"Chronic diarrhea, Weakness","Supportive care, Specialized diet",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,0.6,0.32,Stress-related gastrointestinal disturbance,"Lethargy, Diarrhea","Hydration therapy, Probiotics",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,1.7,0.43,Stress-related gastrointestinal disturbance,"Diarrhea, Reduced appetite","Supportive care, Probiotics",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,2.4,0.39,Dietary imbalance,"Diarrhea, Weight loss","Diet adjustment, Supplementation",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,1.8,0.72,Dietary imbalance,"Low energy, Weight loss","Supplementation, Hydration therapy",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,2.8,0.75,"Bacterial infection (e.g., E. coli)","Fever, Diarrhea","Supportive care, Antibiotics",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,1.0,0.33,Dietary imbalance,"Low energy, Diarrhea","Diet adjustment, Supplementation",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,2.7,0.63,Dietary imbalance,"Diarrhea, Weight loss","Supplementation, Hydration therapy",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,3.0,0.92,"Bacterial infection (e.g., E. coli)","Fever, Diarrhea","Hydration therapy, Antibiotics",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,2.4,0.5,Congenital digestive issue,"Failure to thrive, Weakness","Specialized diet, Supportive care",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,1.2,0.41,Poor hygiene in living conditions,"Diarrhea, Foul-smelling stool","Probiotics, Environmental cleaning",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,1.2,0.39,"Bacterial infection (e.g., E. coli)","Diarrhea, Dehydration","Hydration therapy, Antibiotics",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,2.9,0.88,Congenital digestive issue,"Failure to thrive, Weakness","Supportive care, Probiotics",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,0.9,0.24,"Bacterial infection (e.g., E. coli)","Diarrhea, Fever","Hydration therapy, Antibiotics",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,1.9,0.7,Congenital digestive issue,"Chronic diarrhea, Failure to thrive","Specialized diet, Probiotics",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,1.3,0.37,Congenital digestive issue,"Chronic diarrhea, Failure to thrive","Supportive care, Probiotics",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,2.8,0.85,"Bacterial infection (e.g., E. coli)","Fever, Diarrhea","Antibiotics, Supportive care",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,2.9,0.74,"Bacterial infection (e.g., E. coli)","Fever, Dehydration","Antibiotics, Hydration therapy",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,2.0,0.74,Dietary imbalance,"Diarrhea, Low energy","Diet adjustment, Supplementation",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,1.4,0.38,"Bacterial infection (e.g., E. coli)","Diarrhea, Dehydration","Supportive care, Hydration therapy",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,2.3,0.74,Poor hygiene in living conditions,"Lethargy, Diarrhea","Environmental cleaning, Probiotics",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,1.1,0.43,Congenital digestive issue,"Chronic diarrhea, Weakness","Specialized diet, Probiotics",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,1.9,0.56,Dietary imbalance,"Weight loss, Low energy","Supplementation, Diet adjustment",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,1.5,0.39,Congenital digestive issue,"Weakness, Failure to thrive","Probiotics, Specialized diet",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,0.4,0.26,Poor hygiene in living conditions,"Foul-smelling stool, Lethargy","Probiotics, Hydration therapy",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,2.3,0.78,Stress-related gastrointestinal disturbance,"Reduced appetite, Lethargy","Probiotics, Hydration therapy",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,2.5,0.63,Stress-related gastrointestinal disturbance,"Diarrhea, Lethargy","Hydration therapy, Probiotics",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,0.8,0.41,"Bacterial infection (e.g., E. coli)","Diarrhea, Dehydration","Hydration therapy, Supportive care",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,0.3,0.18,Dietary imbalance,"Diarrhea, Low energy","Diet adjustment, Hydration therapy",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,2.5,0.83,Stress-related gastrointestinal disturbance,"Lethargy, Diarrhea","Probiotics, Hydration therapy",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,1.7,0.42,"Bacterial infection (e.g., E. coli)","Diarrhea, Dehydration","Hydration therapy, Supportive care",Wet Tail (Proliferative Ileitis)
Hamster,Syrian Hamster,3.0,0.57,Stress-related gastrointestinal disturbance,"Diarrhea, Reduced appetite","Supportive care, Probiotics",Wet Tail (Proliferative Ileitis)
