Pet Species,Breed,Age (years),Weight (kg),Past Diagnosis,Symptoms,Treatment,Future Disease
Rabbit,Mini Rex Rabbit,6.3,4.96,Obesity,"Breathing issues, Reduced activity",Dietary changes,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,5.4,2.78,Obesity,"Breathing issues, Reduced activity",Exercise encouragement,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,2.8,1.52,Dental Malocclusion,"Difficulty eating, Weight loss",Tooth trimming,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,4.9,3.76,Foreign Body Ingestion,"Reduced activity, Loss of appetite",Monitoring,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,2.1,1.76,Stress,"Weight loss, Hiding",Calming aids,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,3.5,3.81,Obesity,"Breathing issues, Reduced activity",Dietary changes,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,1.7,1.67,Obesity,"Breathing issues, Difficulty moving",Dietary changes,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,7.0,3.57,Obesity,"Breathing issues, Difficulty moving",Dietary changes,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,5.6,3.69,Foreign Body Ingestion,"Reduced activity, Loss of appetite",Monitoring,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,8.2,3.45,Obesity,"Reduced activity, Difficulty moving",Exercise encouragement,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,9.3,4.27,Dental Malocclusion,"Weight loss, Drooling",Tooth trimming,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,2.7,1.31,Dental Malocclusion,"Difficulty eating, Drooling",Pain relief medication,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,4.5,2.87,Dehydration,"Lethargy, Dry skin",Encouraging water intake,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,2.6,1.24,Obesity,"Difficulty moving, Reduced activity",Exercise encouragement,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,7.4,3.9,Obesity,"Reduced activity, Difficulty moving",Dietary changes,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,8.8,4.0,Stress,"Weight loss, Hiding",Environmental changes,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,6.8,3.06,Stress,"Weight loss, Hiding",Environmental changes,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,8.5,3.97,Foreign Body Ingestion,"Reduced activity, Abdominal pain",Surgical removal,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,7.2,3.25,Stress,"Hiding, Weight loss",Environmental changes,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,6.0,4.19,Dietary Imbalance,"Gas, Lethargy",Diet correction,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,8.3,4.05,Dental Malocclusion,"Weight loss, Difficulty eating",Tooth trimming,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,0.2,0.82,Dental Malocclusion,"Drooling, Difficulty eating",Pain relief medication,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,9.1,4.96,Stress,"Refusal to eat, Weight loss",Calming aids,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,0.9,0.44,Obesity,"Reduced activity, Breathing issues",Dietary changes,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,8.0,4.66,Foreign Body Ingestion,"Loss of appetite, Abdominal pain",Monitoring,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,9.5,4.79,Obesity,"Reduced activity, Difficulty moving",Exercise encouragement,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,7.0,4.7,Dietary Imbalance,"Lethargy, Gas",Diet correction,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,4.5,3.45,Stress,"Weight loss, Hiding",Environmental changes,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,10.0,3.76,Obesity,"Reduced activity, Difficulty moving",Dietary changes,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,6.8,3.33,Dental Malocclusion,"Difficulty eating, Weight loss",Pain relief medication,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,6.6,4.73,Dietary Imbalance,"Gas, Loose stools",Diet correction,Gastrointestinal Stasis
Rabbit,Mini Rex Rabbit,8.4,3.57,Stress,"Hiding, Refusal to eat",Calming aids,Gastrointestinal Stasis
