Pet Species,Breed,Age (years),Weight (kg),Past Diagnosis,Symptoms,Treatment,Future Disease
Snake,Ball Python,8.9,4.4,Poor Husbandry,"Dehydration, Shedding issues, Lethargy","Improved environment, Hydration",Inclusion Body Disease (IBD)
Snake,Ball Python,2.8,1.3,Respiratory Infection,"Wheezing, Mucus in mouth, Lethargy","Antibiotics, Hydration",Inclusion Body Disease (IBD)
Snake,Ball Python,1.3,0.5,Parasites,"Weight loss, Diarrhea, Weakness","Anti-parasitic medication, Improved hygiene",Inclusion Body Disease (IBD)
Snake,Ball Python,9.6,4.9,Mouth Rot (Stomatitis),"Swollen gums, Loss of appetite, Drooling","Antiseptic, Antibiotics",Inclusion Body Disease (IBD)
Snake,Ball Python,6.4,3.0,Respiratory Infection,"Wheezing, Mucus in mouth, Lethargy","Antibiotics, Hydration",Inclusion Body Disease (IBD)
Snake,Ball Python,1.2,0.4,Poor Husbandry,"Dehydration, Shedding issues, Lethargy","Improved environment, Hydration",Inclusion Body Disease (IBD)
Snake,Ball Python,9.3,4.7,Respiratory Infection,"Wheezing, Mucus in mouth, Lethargy","Antibiotics, Hydration",Inclusion Body Disease (IBD)
Snake,Ball Python,7.6,3.8,Mouth Rot (Stomatitis),"Swollen gums, Loss of appetite, Drooling","Antiseptic, Antibiotics",Inclusion Body Disease (IBD)
Snake,Ball Python,6.1,3.2,Mouth Rot (Stomatitis),"Swollen gums, Loss of appetite, Drooling","Antiseptic, Antibiotics",Inclusion Body Disease (IBD)
Snake,Ball Python,3.6,1.9,Poor Husbandry,"Dehydration, Shedding issues, Lethargy","Improved environment, Hydration",Inclusion Body Disease (IBD)
Snake,Ball Python,4.8,2.4,Poor Husbandry,"Dehydration, Shedding issues, Lethargy","Improved environment, Hydration",Inclusion Body Disease (IBD)
Snake,Ball Python,1.6,0.9,Respiratory Infection,"Wheezing, Mucus in mouth, Lethargy","Antibiotics, Hydration",Inclusion Body Disease (IBD)
Snake,Ball Python,4.7,2.2,Parasites,"Weight loss, Diarrhea, Weakness","Anti-parasitic medication, Improved hygiene",Inclusion Body Disease (IBD)
Snake,Ball Python,2.4,1.3,Parasites,"Weight loss, Diarrhea, Weakness","Anti-parasitic medication, Improved hygiene",Inclusion Body Disease (IBD)
Snake,Ball Python,5.3,2.5,Respiratory Infection,"Wheezing, Mucus in mouth, Lethargy","Antibiotics, Hydration",Inclusion Body Disease (IBD)
Snake,Ball Python,0.3,0.2,Mouth Rot (Stomatitis),"Swollen gums, Loss of appetite, Drooling","Antiseptic, Antibiotics",Inclusion Body Disease (IBD)
