Pet Species,Breed,Age (years),Weight (kg),Past Diagnosis,Symptoms,Treatment,Future Disease
Turtle,Red-Eared Slider,5.0,0.21,Poor Water Quality,Soft shell; Discoloration,Improve water quality; apply antiseptic.,Shell rot
Turtle,Red-Eared Slider,8.4,1.35,Fungal Infection,White patches on shell; Shell erosion,Antifungal treatment; maintain dry docking.,Shell rot
Turtle,Red-Eared Slider,0.6,0.22,Inadequate UVB Exposure,Cracked shell; Weakened shell,Increase UVB exposure; calcium supplementation.,Shell rot
Turtle,Red-Eared Slider,9.8,1.85,Inadequate UVB Exposure,Cracked shell; Weakened shell,Increase UVB exposure; calcium supplementation.,Shell rot
Turtle,Red-Eared Slider,1.5,0.75,Malnutrition,Shell peeling; Weight loss,Adjust diet; provide balanced nutrition.,Shell rot
Turtle,Red-Eared Slider,8.5,3.36,Inadequate UVB Exposure,Cracked shell; Weakened shell,Increase UVB exposure; calcium supplementation.,Shell rot
Turtle,Red-Eared Slider,5.1,2.37,Inadequate UVB Exposure,Cracked shell; Weakened shell,Increase UVB exposure; calcium supplementation.,Shell rot
Turtle,Red-Eared Slider,1.8,0.5,Fungal Infection,White patches on shell; Shell erosion,Antifungal treatment; maintain dry docking.,Shell rot
Turtle,Red-Eared Slider,5.7,2.16,Poor Water Quality,Soft shell; Discoloration,Improve water quality; apply antiseptic.,Shell rot
Turtle,Red-Eared Slider,6.7,0.26,Fungal Infection,White patches on shell; Shell erosion,Antifungal treatment; maintain dry docking.,Shell rot
Turtle,Red-Eared Slider,1.3,0.85,Inadequate UVB Exposure,Cracked shell; Weakened shell,Increase UVB exposure; calcium supplementation.,Shell rot
Turtle,Red-Eared Slider,2.4,1.33,Poor Water Quality,Soft shell; Discoloration,Improve water quality; apply antiseptic.,Shell rot
Turtle,Red-Eared Slider,7.5,2.09,Poor Water Quality,Soft shell; Discoloration,Improve water quality; apply antiseptic.,Shell rot
Turtle,Red-Eared Slider,6.7,1.51,Vitamin D Deficiency,Soft shell; Lethargy,Provide vitamin D supplements; UVB light exposure.,Shell rot
Turtle,Red-Eared Slider,3.3,1.29,Fungal Infection,White patches on shell; Shell erosion,Antifungal treatment; maintain dry docking.,Shell rot
Turtle,Red-Eared Slider,1.3,0.84,Poor Water Quality,Soft shell; Discoloration,Improve water quality; apply antiseptic.,Shell rot
Turtle,Red-Eared Slider,1.8,0.45,Vitamin D Deficiency,Soft shell; Lethargy,Provide vitamin D supplements; UVB light exposure.,Shell rot
Turtle,Red-Eared Slider,7.0,2.86,Poor Water Quality,Soft shell; Discoloration,Improve water quality; apply antiseptic.,Shell rot
Turtle,Red-Eared Slider,5.1,1.65,Vitamin D Deficiency,Soft shell; Lethargy,Provide vitamin D supplements; UVB light exposure.,Shell rot
Turtle,Red-Eared Slider,3.5,1.83,Malnutrition,Shell peeling; Weight loss,Adjust diet; provide balanced nutrition.,Shell rot
Turtle,Red-Eared Slider,9.7,4.61,Fungal Infection,White patches on shell; Shell erosion,Antifungal treatment; maintain dry docking.,Shell rot
Turtle,Red-Eared Slider,4.1,1.74,Poor Water Quality,Soft shell; Discoloration,Improve water quality; apply antiseptic.,Shell rot
Turtle,Red-Eared Slider,0.4,0.36,Vitamin D Deficiency,Soft shell; Lethargy,Provide vitamin D supplements; UVB light exposure.,Shell rot
Turtle,Red-Eared Slider,4.5,0.77,Inadequate UVB Exposure,Cracked shell; Weakened shell,Increase UVB exposure; calcium supplementation.,Shell rot
Turtle,Red-Eared Slider,5.7,0.37,Inadequate UVB Exposure,Cracked shell; Weakened shell,Increase UVB exposure; calcium supplementation.,Shell rot
Turtle,Red-Eared Slider,5.2,0.56,Malnutrition,Shell peeling; Weight loss,Adjust diet; provide balanced nutrition.,Shell rot
Turtle,Red-Eared Slider,1.6,0.45,Malnutrition,Shell peeling; Weight loss,Adjust diet; provide balanced nutrition.,Shell rot
Turtle,Red-Eared Slider,2.5,1.23,Poor Water Quality,Soft shell; Discoloration,Improve water quality; apply antiseptic.,Shell rot
Turtle,Red-Eared Slider,1.7,0.44,Malnutrition,Shell peeling; Weight loss,Adjust diet; provide balanced nutrition.,Shell rot
Turtle,Red-Eared Slider,0.4,0.27,Vitamin D Deficiency,Soft shell; Lethargy,Provide vitamin D supplements; UVB light exposure.,Shell rot
Turtle,Red-Eared Slider,1.0,0.65,Poor Water Quality,Soft shell; Discoloration,Improve water quality; apply antiseptic.,Shell rot
Turtle,Red-Eared Slider,5.5,1.6,Malnutrition,Shell peeling; Weight loss,Adjust diet; provide balanced nutrition.,Shell rot
Turtle,Red-Eared Slider,1.3,0.83,Vitamin D Deficiency,Soft shell; Lethargy,Provide vitamin D supplements; UVB light exposure.,Shell rot
Turtle,Red-Eared Slider,7.8,4.09,Fungal Infection,White patches on shell; Shell erosion,Antifungal treatment; maintain dry docking.,Shell rot
Turtle,Red-Eared Slider,8.4,2.18,Poor Water Quality,Soft shell; Discoloration,Improve water quality; apply antiseptic.,Shell rot
Turtle,Red-Eared Slider,4.2,1.94,Vitamin D Deficiency,Soft shell; Lethargy,Provide vitamin D supplements; UVB light exposure.,Shell rot
Turtle,Red-Eared Slider,5.1,1.78,Poor Water Quality,Soft shell; Discoloration,Improve water quality; apply antiseptic.,Shell rot
Turtle,Red-Eared Slider,1.2,0.34,Malnutrition,Shell peeling; Weight loss,Adjust diet; provide balanced nutrition.,Shell rot
Turtle,Red-Eared Slider,2.6,1.1,Vitamin D Deficiency,Soft shell; Lethargy,Provide vitamin D supplements; UVB light exposure.,Shell rot
Turtle,Red-Eared Slider,1.8,0.86,Fungal Infection,White patches on shell; Shell erosion,Antifungal treatment; maintain dry docking.,Shell rot
Turtle,Red-Eared Slider,7.2,2.28,Fungal Infection,White patches on shell; Shell erosion,Antifungal treatment; maintain dry docking.,Shell rot
Turtle,Red-Eared Slider,9.9,3.37,Inadequate UVB Exposure,Cracked shell; Weakened shell,Increase UVB exposure; calcium supplementation.,Shell rot
Turtle,Red-Eared Slider,8.4,3.05,Malnutrition,Shell peeling; Weight loss,Adjust diet; provide balanced nutrition.,Shell rot
Turtle,Red-Eared Slider,3.0,1.17,Malnutrition,Shell peeling; Weight loss,Adjust diet; provide balanced nutrition.,Shell rot
Turtle,Red-Eared Slider,6.9,1.37,Inadequate UVB Exposure,Cracked shell; Weakened shell,Increase UVB exposure; calcium supplementation.,Shell rot
Turtle,Red-Eared Slider,6.7,0.61,Fungal Infection,White patches on shell; Shell erosion,Antifungal treatment; maintain dry docking.,Shell rot
Turtle,Red-Eared Slider,4.0,0.22,Malnutrition,Shell peeling; Weight loss,Adjust diet; provide balanced nutrition.,Shell rot
Turtle,Red-Eared Slider,2.0,0.4,Poor Water Quality,Soft shell; Discoloration,Improve water quality; apply antiseptic.,Shell rot
Turtle,Red-Eared Slider,9.5,4.31,Inadequate UVB Exposure,Cracked shell; Weakened shell,Increase UVB exposure; calcium supplementation.,Shell rot
Turtle,Red-Eared Slider,8.3,2.38,Vitamin D Deficiency,Soft shell; Lethargy,Provide vitamin D supplements; UVB light exposure.,Shell rot
Turtle,Red-Eared Slider,9.2,0.99,Vitamin D Deficiency,Soft shell; Lethargy,Provide vitamin D supplements; UVB light exposure.,Shell rot
Turtle,Red-Eared Slider,8.3,3.62,Inadequate UVB Exposure,Cracked shell; Weakened shell,Increase UVB exposure; calcium supplementation.,Shell rot
Turtle,Red-Eared Slider,3.0,1.6,Inadequate UVB Exposure,Cracked shell; Weakened shell,Increase UVB exposure; calcium supplementation.,Shell rot
Turtle,Red-Eared Slider,8.1,1.71,Poor Water Quality,Soft shell; Discoloration,Improve water quality; apply antiseptic.,Shell rot
Turtle,Red-Eared Slider,9.0,0.45,Vitamin D Deficiency,Soft shell; Lethargy,Provide vitamin D supplements; UVB light exposure.,Shell rot
Turtle,Red-Eared Slider,2.3,0.37,Inadequate UVB Exposure,Cracked shell; Weakened shell,Increase UVB exposure; calcium supplementation.,Shell rot
Turtle,Red-Eared Slider,3.4,1.01,Vitamin D Deficiency,Soft shell; Lethargy,Provide vitamin D supplements; UVB light exposure.,Shell rot
Turtle,Red-Eared Slider,5.4,0.41,Vitamin D Deficiency,Soft shell; Lethargy,Provide vitamin D supplements; UVB light exposure.,Shell rot
Turtle,Red-Eared Slider,5.3,1.04,Malnutrition,Shell peeling; Weight loss,Adjust diet; provide balanced nutrition.,Shell rot
Turtle,Red-Eared Slider,9.2,2.68,Inadequate UVB Exposure,Cracked shell; Weakened shell,Increase UVB exposure; calcium supplementation.,Shell rot
Turtle,Red-Eared Slider,0.7,0.33,Fungal Infection,White patches on shell; Shell erosion,Antifungal treatment; maintain dry docking.,Shell rot
Turtle,Red-Eared Slider,6.9,1.67,Vitamin D Deficiency,Soft shell; Lethargy,Provide vitamin D supplements; UVB light exposure.,Shell rot
Turtle,Red-Eared Slider,1.4,0.81,Malnutrition,Shell peeling; Weight loss,Adjust diet; provide balanced nutrition.,Shell rot
Turtle,Red-Eared Slider,4.7,2.05,Vitamin D Deficiency,Soft shell; Lethargy,Provide vitamin D supplements; UVB light exposure.,Shell rot
Turtle,Red-Eared Slider,3.9,1.83,Inadequate UVB Exposure,Cracked shell; Weakened shell,Increase UVB exposure; calcium supplementation.,Shell rot
Turtle,Red-Eared Slider,7.5,3.64,Fungal Infection,White patches on shell; Shell erosion,Antifungal treatment; maintain dry docking.,Shell rot
Turtle,Red-Eared Slider,9.8,4.9,Poor Water Quality,Soft shell; Discoloration,Improve water quality; apply antiseptic.,Shell rot
Turtle,Red-Eared Slider,0.3,0.24,Vitamin D Deficiency,Soft shell; Lethargy,Provide vitamin D supplements; UVB light exposure.,Shell rot
Turtle,Red-Eared Slider,3.3,1.5,Fungal Infection,White patches on shell; Shell erosion,Antifungal treatment; maintain dry docking.,Shell rot
Turtle,Red-Eared Slider,9.6,2.4,Vitamin D Deficiency,Soft shell; Lethargy,Provide vitamin D supplements; UVB light exposure.,Shell rot
Turtle,Red-Eared Slider,0.4,0.32,Vitamin D Deficiency,Soft shell; Lethargy,Provide vitamin D supplements; UVB light exposure.,Shell rot
Turtle,Red-Eared Slider,5.6,2.5,Malnutrition,Shell peeling; Weight loss,Adjust diet; provide balanced nutrition.,Shell rot
Turtle,Red-Eared Slider,1.7,0.67,Fungal Infection,White patches on shell; Shell erosion,Antifungal treatment; maintain dry docking.,Shell rot
Turtle,Red-Eared Slider,9.6,3.0,Fungal Infection,White patches on shell; Shell erosion,Antifungal treatment; maintain dry docking.,Shell rot
Turtle,Red-Eared Slider,0.6,0.26,Fungal Infection,White patches on shell; Shell erosion,Antifungal treatment; maintain dry docking.,Shell rot
Turtle,Red-Eared Slider,1.1,0.51,Vitamin D Deficiency,Soft shell; Lethargy,Provide vitamin D supplements; UVB light exposure.,Shell rot
Turtle,Red-Eared Slider,2.1,1.22,Vitamin D Deficiency,Soft shell; Lethargy,Provide vitamin D supplements; UVB light exposure.,Shell rot
Turtle,Red-Eared Slider,2.4,0.71,Fungal Infection,White patches on shell; Shell erosion,Antifungal treatment; maintain dry docking.,Shell rot
Turtle,Red-Eared Slider,3.3,0.84,Poor Water Quality,Soft shell; Discoloration,Improve water quality; apply antiseptic.,Shell rot
Turtle,Red-Eared Slider,1.9,0.55,Malnutrition,Shell peeling; Weight loss,Adjust diet; provide balanced nutrition.,Shell rot
Turtle,Red-Eared Slider,3.4,0.66,Malnutrition,Shell peeling; Weight loss,Adjust diet; provide balanced nutrition.,Shell rot
Turtle,Red-Eared Slider,9.7,2.53,Malnutrition,Shell peeling; Weight loss,Adjust diet; provide balanced nutrition.,Shell rot
Turtle,Red-Eared Slider,3.8,1.9,Fungal Infection,White patches on shell; Shell erosion,Antifungal treatment; maintain dry docking.,Shell rot
Turtle,Red-Eared Slider,0.9,0.59,Malnutrition,Shell peeling; Weight loss,Adjust diet; provide balanced nutrition.,Shell rot
Turtle,Red-Eared Slider,3.9,0.88,Malnutrition,Shell peeling; Weight loss,Adjust diet; provide balanced nutrition.,Shell rot
Turtle,Red-Eared Slider,0.6,0.37,Inadequate UVB Exposure,Cracked shell; Weakened shell,Increase UVB exposure; calcium supplementation.,Shell rot
Turtle,Red-Eared Slider,1.6,0.42,Inadequate UVB Exposure,Cracked shell; Weakened shell,Increase UVB exposure; calcium supplementation.,Shell rot
